****************************************************************************************
Output generated by CrystalDiffract(R) for Windows 6.5.3
Copyright © 1994-2015 CrystalMaker Software Ltd <http://www.crystalmaker.com>

(This file looks best when viewed using a non-proportional font such as Courier New.)
****************************************************************************************

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  2   3   2   1.06307   92.8681  1.51447e+000    3.0%   8    17     0.693
  3   2   4   1.05505   93.7876  2.35464e-003    0.0%   8    29     0.689
  1   3   3   1.05208   94.1344  3.21926e+000    6.5%   8    19     0.688
  5   0   3   1.05059   94.3083  5.26806e-002    0.1%   4    34     0.688
  2   2   5   1.02961   96.8568  4.25189e+000    8.5%   8    33     0.683
  2   1   6   1.02876   96.9638  4.04751e-002    0.1%   8    41     0.683
  4   2   3   1.02452   97.5010  3.18439e-001    0.6%   8    29     0.682
  3   3   1   1.01768   98.3832  8.02937e-001    1.6%   8    19     0.682
  5   1   3   1.00899   99.5328  5.89661e-001    1.2%   8    35     0.682
  4   0   5   1.00876   99.5638  9.41332e-002    0.2%   4    41     0.682
  2   3   3   1.00526  100.0365  5.98518e-001    1.2%   8    22     0.683
  3   0   6   0.99399  101.5984  1.77203e-004    0.0%   4    45     0.685
  3   3   2   0.98611  102.7288  1.13950e-001    0.2%   8    22     0.688
  6   0   0   0.98377  103.0706  5.61702e-002    0.1%   2    36     0.689
  5   2   1   0.97893  103.7863  1.16098e+000    2.3%   8    30     0.691
  1   3   4   0.97589  104.2426  1.35160e-002    0.0%   8    26     0.693
  5   0   4   0.97471  104.4216  1.14620e+000    2.3%   4    41     0.694
  6   0   1   0.97395  104.5367  9.16958e-001    1.8%   4    37     0.694
  1   0   7   0.97372  104.5717  1.22954e+000    2.5%   4    50     0.694
  0   2   6   0.97182  104.8608  1.06008e+000    2.1%   4    40     0.696
  4   1   5   0.97176  104.8705  1.54969e+000    3.1%   8    42     0.696
  3   2   5   0.95923  106.8392  7.21708e-002    0.1%   8    38     0.705
  1   2   6   0.95891  106.8898  2.33116e+000    4.7%   8    41     0.705
  3   1   6   0.95854  106.9502  3.39210e+000    6.8%   8    46     0.706
  4   2   4   0.95378  107.7267  4.01694e+000    8.1%   8    36     0.710
  0   1   7   0.95248  107.9401  5.37502e-001    1.1%   4    50     0.712
  5   2   2   0.95073  108.2307  2.48476e-001    0.5%   8    33     0.713
  6   1   0   0.94936  108.4599  4.15528e-002    0.1%   4    37     0.715
  6   0   2   0.94617  108.9984  1.38360e-001    0.3%   4    40     0.718
  5   1   4   0.94121  109.8492  1.19704e+000    2.4%   8    42     0.724
  6   1   1   0.94053  109.9676  8.10134e-001    1.6%   8    38     0.725
  1   1   7   0.94032  110.0037  1.96042e+000    3.9%   8    51     0.726
  3   3   3   0.93945  110.1558  2.52546e-001    0.5%   8    27     0.727
  2   3   4   0.93818  110.3778  8.78142e-002    0.2%   8    29     0.728
  2   0   7   0.93625  110.7181  7.29326e-001    1.5%   4    53     0.731
  4   3   0   0.93432  111.0611  1.03846e-001    0.2%   4    25     0.734
  4   3   1   0.92590  112.5948  3.59753e-001    0.7%   8    26     0.747
  2   2   6   0.92307  113.1233  2.49880e-001    0.5%   8    44     0.752
  6   1   2   0.91544  114.5843  2.42172e+000    4.9%   8    41     0.767
  0   3   5   0.90918  115.8233  2.12380e+000    4.3%   4    34     0.780
  5   2   3   0.90871  115.9178  9.42998e-002    0.2%   8    38     0.781
  4   0   6   0.90795  116.0700  1.20984e+000    2.4%   4    52     0.783
  2   1   7   0.90644  116.3761  6.43773e-001    1.3%   8    54     0.786
  0   4   0   0.90532  116.6049  3.20154e+000    6.4%   2    16     0.789
  6   0   3   0.90472  116.7296  9.51771e-001    1.9%   4    45     0.791
  4   3   2   0.90193  117.3068  4.19072e-001    0.8%   8    29     0.798
  1   3   5   0.89858  118.0121  5.66383e-002    0.1%   8    35     0.806
  5   0   5   0.89765  118.2087  1.20274e-002    0.0%   4    50     0.809
